,Full Bath,HalfBath,Lot size,SqFt,adressline1,adressline2,beds,price
0,,,,,0 Gateway,"Rock Springs, WY 82901",,"$725,000"
1,4,,0.21 Acres,,1003 Winchester Blvd.,"Rock Springs, WY 82901",4,"$452,900"
2,3,,,"3,154",600 Talladega,"Rock Springs, WY 82901",5,"$396,900"
3,3,1,"Under 1/2 Acre, ","3,076",3239 Spearhead Way,"Rock Springs, WY 82901",4,"$389,900"
4,3,,"Under 1/2 Acre, ","1,172",522 Emerald Street,"Rock Springs, WY 82901",3,"$254,000"
5,2,,0.27 Acres,"1,932",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"$252,900"
6,3,,"Under 1/2 Acre, ","1,676",1021 Cypress Cir,"Rock Springs, WY 82901",4,"$210,000"
7,2,,"Under 1/2 Acre, ","1,344",913 Madison Dr,"Rock Springs, WY 82901",3,"$209,000"
8,2,,"Under 1/2 Acre, ","1,920",1344 Teton Street,"Rock Springs, WY 82901",3,"$199,900"
9,2,,2.02 Acres,"1,664",4 Minnies Lane,"Rock Springs, WY 82901",3,"$196,900"
10,,,,"2,560",9339 Sd 26900,"Rocksprings, TX 78880",,"$1,700,000"
11,,,,"2,000",RR674P13 Hwy 377,"Rocksprings, TX 78880",,"$1,100,000"
12,,,,,0 Hwy 41,"Rocksprings, TX 78880",,"$1,080,000"
13,,,,"2,560",9339 Sd 26900,"Rocksprings, TX 78880",,"$908,350"
14,,,,,CR450 Hwy 377,"Rocksprings, TX 78880",,"$905,000"
15,,,,"1,398",Cr 240 Cr 240,"Rocksprings, TX 78880",,"$695,000"
16,,,,"1,738",RR674 Hwy 377,"Rocksprings, TX 78880",,"$605,000"
17,,,,"1,080",9770a Sd 26900,"Rocksprings, TX 78880",,"$559,805"
18,,,,,Lot17 CR 2630,"Rocksprings, TX 78880",,"$504,000"
19,,,,,"Tr12,16 CR 520","Rocksprings, TX 78880",,"$410,000"
20,2,,,"2,318",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3,"$299,900"
21,2,,,"2,120",32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3,"$167,500"
22,,,5 Acres,,0000 Black Canyon Highway,"Black Canyon City, AZ 85324",,"$150,000"
23,2,,,"1,220",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3,"$129,500"
24,2,,,"2,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4,"$129,000"
25,2,,,"2,260",34263 S Bertha Street,"Black Canyon City, AZ 85324",5,"$80,000"
26,2,,,"1,248",33160 S Canyon Road,"Black Canyon City, AZ 85324",3,"$77,900"
27,2,,,"1,404",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3,"$70,500"
28,,,0.7 Acres,,18688 E AGUA Vista,"Black Canyon City, AZ 85324",,"$70,000"
29,,,3 Acres,,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,"$67,500"
30,,,,,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,"$54,900"
31,1,,,"1,056",33259 S Canyon Road,"Black Canyon City, AZ 85324",3,"$45,600"
32,1,,Under 1/2 Acre,784,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2,"$40,000"
33,,,2.35 Acres,,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,"$30,000"
34,,,2.05 Acres,,19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,"$29,000"
35,,,0.73 Acres,,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,"$28,995"
36,,,0.31 Acres,,20650 E Amethyst Place,"Black Canyon City, AZ 85324",,"$15,000"
